Date,Mkt-RF,SMB,HML,RF
1963-07-01,-0.39,-0.57,-0.81,0.27
1963-08-01,5.08,-0.95,1.7,0.25
1963-09-01,-1.57,-0.25,0.0,0.27
1963-10-01,2.54,-0.57,-0.04,0.29
1963-11-01,-0.86,-1.16,1.73,0.27
1963-12-01,1.83,-1.96,-0.21,0.29
1964-01-01,2.24,-0.24,1.63,0.3
1964-02-01,1.55,0.12,2.81,0.26
1964-03-01,1.41,0.95,3.29,0.31
1964-04-01,0.1,-1.35,-0.54,0.29
1964-05-01,1.41,-0.84,1.81,0.26
1964-06-01,1.27,-0.23,0.68,0.3
1964-07-01,1.74,0.19,0.79,0.3
1964-08-01,-1.44,0.01,0.07,0.28
1964-09-01,2.69,-0.63,1.72,0.28
1964-10-01,0.6,0.48,1.08,0.29
1964-11-01,-0.01,0.62,-2.04,0.29
1964-12-01,0.04,-0.24,-2.43,0.31
1965-01-01,3.54,2.57,0.36,0.28
1965-02-01,0.44,3.31,0.22,0.3
1965-03-01,-1.34,1.79,1.15,0.36
1965-04-01,3.11,1.14,0.73,0.31
1965-05-01,-0.78,0.02,-1.55,0.31
1965-06-01,-5.51,-4.07,0.23,0.35
1965-07-01,1.44,0.86,2.19,0.31
1965-08-01,2.73,2.85,-0.98,0.33
1965-09-01,2.86,0.63,-0.14,0.31
1965-10-01,2.6,2.52,1.55,0.31
1965-11-01,-0.03,4.69,0.16,0.35
1965-12-01,1.01,2.07,2.15,0.33
1966-01-01,0.72,4.02,3.27,0.38
1966-02-01,-1.21,4.44,0.38,0.35
1966-03-01,-2.51,0.86,-2.13,0.38
1966-04-01,2.13,3.44,-0.36,0.34
1966-05-01,-5.67,-4.6,-1.6,0.41
1966-06-01,-1.44,1.02,0.49,0.38
1966-07-01,-1.63,-0.35,0.91,0.35
1966-08-01,-7.94,-3.26,0.5,0.41
1966-09-01,-1.06,-1.01,0.48,0.4
1966-10-01,3.86,-6.6,2.74,0.45
1966-11-01,1.38,4.07,-4.63,0.4
1966-12-01,0.13,1.93,-0.95,0.4
1967-01-01,8.15,8.1,2.36,0.43
1967-02-01,0.77,3.32,-2.26,0.36
1967-03-01,3.99,1.47,0.47,0.39
1967-04-01,3.89,0.47,-2.29,0.32
1967-05-01,-4.32,2.11,0.8,0.33
1967-06-01,2.42,5.85,0.8,0.27
1967-07-01,4.58,3.17,2.75,0.32
1967-08-01,-0.9,0.43,1.43,0.31
1967-09-01,3.1,3.04,-2.47,0.32
1967-10-01,-3.08,1.47,-3.29,0.39
1967-11-01,0.37,0.18,-1.71,0.36
1967-12-01,3.05,5.62,-0.54,0.33
1968-01-01,-4.03,3.99,4.85,0.4
1968-02-01,-3.74,-2.94,1.23,0.39
1968-03-01,0.21,-1.3,-0.63,0.38
1968-04-01,9.02,5.66,-1.1,0.43
1968-05-01,2.28,6.29,0.82,0.45
1968-06-01,0.7,-0.19,0.66,0.43
1968-07-01,-2.69,-1.28,5.31,0.48
1968-08-01,1.35,2.42,0.99,0.42
1968-09-01,4.05,2.74,0.3,0.43
1968-10-01,0.43,-0.5,2.82,0.44
1968-11-01,5.43,2.34,-0.96,0.42
1968-12-01,-3.93,3.36,0.04,0.43
1969-01-01,-1.25,-0.63,1.66,0.53
1969-02-01,-5.86,-3.96,0.89,0.46
1969-03-01,2.66,-0.3,-0.42,0.46
1969-04-01,1.46,-0.81,0.02,0.53
1969-05-01,-0.09,-0.32,0.62,0.48
1969-06-01,-7.19,-5.34,-1.1,0.51
1969-07-01,-7.0,-3.24,1.18,0.53
1969-08-01,4.69,0.81,-3.75,0.5
1969-09-01,-2.97,1.23,-3.22,0.62
1969-10-01,5.06,3.92,-3.12,0.6
1969-11-01,-3.8,-2.55,-1.25,0.52
1969-12-01,-2.63,-3.68,-2.88,0.64
1970-01-01,-8.1,2.91,3.17,0.6
1970-02-01,5.14,-2.39,3.69,0.62
1970-03-01,-1.06,-2.31,4.08,0.57
1970-04-01,-10.99,-6.14,6.14,0.5
1970-05-01,-6.9,-4.61,3.32,0.53
1970-06-01,-5.8,-2.08,0.44,0.58
1970-07-01,6.92,-0.55,0.93,0.52
1970-08-01,4.5,1.48,1.41,0.53
1970-09-01,4.18,8.61,-5.41,0.54
1970-10-01,-2.27,-4.17,0.21,0.46
1970-11-01,4.62,-3.97,1.58,0.46
1970-12-01,5.74,2.82,1.04,0.42
1971-01-01,4.83,7.28,1.55,0.38
1971-02-01,1.41,1.86,-1.24,0.33
1971-03-01,4.12,2.6,-3.95,0.3
1971-04-01,3.15,-0.49,0.86,0.28
1971-05-01,-3.99,-1.04,-1.33,0.29
1971-06-01,-0.09,-1.53,-1.97,0.37
1971-07-01,-4.49,-1.51,-0.02,0.4
1971-08-01,3.79,-0.22,2.64,0.47
1971-09-01,-0.86,0.5,-2.9,0.37
1971-10-01,-4.42,-1.75,-0.51,0.37
1971-11-01,-0.46,-2.77,-1.67,0.37
1971-12-01,8.71,3.29,-0.38,0.37
1972-01-01,2.47,5.84,2.12,0.29
1972-02-01,2.87,1.32,-2.83,0.25
1972-03-01,0.62,-0.29,-1.61,0.27
1972-04-01,0.29,0.16,0.03,0.29
1972-05-01,1.29,-2.71,-2.72,0.3
1972-06-01,-2.43,0.28,-2.46,0.29
1972-07-01,-0.8,-2.9,0.6,0.31
1972-08-01,3.27,-3.99,4.56,0.29
1972-09-01,-1.14,-2.66,0.49,0.34
1972-10-01,0.52,-2.73,1.22,0.4
1972-11-01,4.6,-1.18,4.88,0.37
1972-12-01,0.62,-1.95,-2.18,0.37
1973-01-01,-3.27,-3.49,2.7,0.44
1973-02-01,-4.85,-3.89,1.64,0.42
1973-03-01,-1.3,-2.78,2.57,0.46
1973-04-01,-5.68,-3.84,5.39,0.52
1973-05-01,-2.97,-6.27,0.38,0.51
1973-06-01,-1.57,-2.84,1.14,0.51
1973-07-01,5.04,7.92,-5.26,0.64
1973-08-01,-3.82,-2.0,1.03,0.7
1973-09-01,4.74,2.93,2.22,0.68
1973-10-01,-0.83,-0.21,1.66,0.65
1973-11-01,-12.78,-7.72,4.09,0.56
1973-12-01,0.59,-5.4,4.01,0.64
1974-01-01,-0.16,9.68,5.95,0.63
1974-02-01,-0.46,0.0,2.47,0.58
1974-03-01,-2.82,2.5,-0.14,0.56
1974-04-01,-5.28,-0.68,0.92,0.75
1974-05-01,-4.7,-2.93,-2.08,0.75
1974-06-01,-2.84,-0.24,0.83,0.6
1974-07-01,-8.06,0.78,5.16,0.7
1974-08-01,-9.39,-0.69,2.61,0.6
1974-09-01,-11.79,0.27,5.43,0.81
1974-10-01,16.11,-3.43,-9.91,0.51
1974-11-01,-4.53,-1.17,-0.25,0.54
1974-12-01,-3.44,-4.74,0.12,0.7
1975-01-01,13.67,11.06,8.26,0.58
1975-02-01,5.56,0.12,-4.47,0.43
1975-03-01,2.66,3.75,2.42,0.41
1975-04-01,4.22,-0.64,-1.13,0.44
1975-05-01,5.2,3.93,-4.05,0.44
1975-06-01,4.87,0.81,1.35,0.41
1975-07-01,-6.6,2.66,1.76,0.48
1975-08-01,-2.84,-3.17,-0.91,0.48
1975-09-01,-4.26,-0.16,0.33,0.53
1975-10-01,5.32,-4.08,0.35,0.56
1975-11-01,2.65,-1.22,2.03,0.41
1975-12-01,-1.6,-0.87,1.7,0.48
1976-01-01,12.15,4.87,8.63,0.47
1976-02-01,0.31,6.97,5.71,0.34
1976-03-01,2.32,-1.17,-0.11,0.4
1976-04-01,-1.49,-0.08,-0.16,0.42
1976-05-01,-1.34,-1.19,-1.29,0.37
1976-06-01,4.06,-1.32,0.73,0.43
1976-07-01,-1.06,0.28,1.74,0.47
1976-08-01,-0.57,-2.05,0.79,0.42
1976-09-01,2.06,0.08,-0.31,0.44
1976-10-01,-2.42,0.14,-0.17,0.41
1976-11-01,0.36,2.34,1.53,0.4
1976-12-01,5.65,3.03,2.23,0.4
1977-01-01,-4.03,4.75,4.32,0.36
1977-02-01,-1.94,1.03,0.45,0.35
1977-03-01,-1.35,0.99,1.09,0.38
1977-04-01,0.15,-0.13,3.38,0.38
1977-05-01,-1.47,1.25,0.81,0.37
1977-06-01,4.72,2.07,-0.62,0.4
1977-07-01,-1.69,2.09,-0.6,0.42
1977-08-01,-1.76,1.55,-2.77,0.44
